,token_delta,eth_delta,UNI_delta,logIndex,timestamp,event,token_balance,eth_balance,UNI_supply
2239,21230.027096215377,-24.211608549919607,0.0,115.0,2021-05-24 19:52:44,ethPurchase,5896004.214245473,6719.997552629089,200483.82086561102
2240,16936.018742691478,-19.190038293328413,0.0,9.0,2021-05-24 19:55:55,ethPurchase,5912940.232988165,6700.807514335761,200483.82086561102
2241,-4834.1373396564395,5.499240123177604,0.0,56.0,2021-05-24 20:26:39,tokenPurchase,5908106.0956485085,6706.3067544589385,200483.82086561102
2242,-6478.206118938447,7.383651589073928,0.0,83.0,2021-05-24 20:31:53,tokenPurchase,5901627.88952957,6713.690406048013,200483.82086561102
2243,-15189.502263541164,17.37629145116499,0.0,153.0,2021-05-24 20:31:53,tokenPurchase,5886438.387266029,6731.066697499178,200483.82086561102
2244,-12359.208020735889,14.204945813463832,0.0,64.0,2021-05-24 20:33:38,tokenPurchase,5874079.179245293,6745.271643312642,200483.82086561102
2245,15000.0,-17.129385626807164,0.0,372.0,2021-05-24 21:02:26,ethPurchase,5889079.179245293,6728.142257685834,200483.82086561102
2246,4685.554638580796,-5.332852482464231,0.0,310.0,2021-05-24 21:06:59,ethPurchase,5893764.733883874,6722.809405203369,200483.82086561102
2247,9396.056869288896,-10.66863986193545,0.0,212.0,2021-05-24 21:09:05,ethPurchase,5903160.7907531625,6712.1407653414335,200483.82086561102
2248,17851.79983883873,-20.17651555138691,0.0,224.0,2021-05-24 21:09:58,ethPurchase,5921012.590592002,6691.964249790047,200483.82086561102
2249,-100.51167085337771,0.11394265484254228,0.0,102.0,2021-05-24 21:20:00,tokenPurchase,5920912.078921149,6692.078192444889,200483.82086561102
2250,-6988.092722121755,7.931380207271671,0.0,301.0,2021-05-24 21:42:12,tokenPurchase,5913923.986199027,6700.009572652161,200483.82086561102
2251,-13258.600040155183,15.1,0.0,266.0,2021-05-24 21:42:33,tokenPurchase,5900665.386158871,6715.109572652162,200483.82086561102
2252,-2301.3054491399357,2.6278503825706845,0.0,380.0,2021-05-24 21:44:12,tokenPurchase,5898364.080709731,6717.737423034732,200483.82086561102
2253,-15712.394275215729,17.996875,0.0,3.0,2021-05-24 21:46:29,tokenPurchase,5882651.686434516,6735.734298034732,200483.82086561102
2254,5999.0,6.86895505764705,193.52101232454757,105.0,2021-05-24 21:47:42,mint,5888650.686434516,6742.603253092379,200677.34187793557
2255,4000.0,-4.563236133115524,0.0,251.0,2021-05-24 21:52:10,ethPurchase,5892650.686434516,6738.040016959264,200677.34187793557
2256,67.0,-0.07638145494084762,0.0,240.0,2021-05-24 22:00:34,ethPurchase,5892717.686434516,6737.963635504323,200677.34187793557
2257,502.4719841079138,-0.5727737663923577,0.0,155.0,2021-05-24 22:01:12,ethPurchase,5893220.158418624,6737.390861737931,200677.34187793557
2258,501.00728539980975,0.5727737663923577,16.149401560370844,164.0,2021-05-24 22:01:12,mint,5893721.165704023,6737.963635504323,200693.49127949594
2259,2000.0,-2.278858308378138,0.0,370.0,2021-05-24 22:09:50,ethPurchase,5895721.165704023,6735.684777195945,200693.49127949594
2260,40661.88211799668,46.45498196006028,1310.245023927295,124.0,2021-05-24 22:12:24,mint,5936383.04782202,6782.139759156005,202003.73630342324
2261,-365.4351137321798,-0.4174986678368092,-11.775390473722705,403.0,2021-05-24 22:15:18,burn,5936017.612708288,6781.722260488168,201991.96091294952
